# Generated from step7_final_filtered_mapping.tsv and step7_final_filtered.gtf.gz
# Multi-exon genes: 23
ENSG00000188636	ENST00000341255	RTL6	84247	NM_032287	NP_115663
ENSG00000182154	ENST00000371443	MRPL41	64975	NM_032477	NP_115866
ENSG00000136897	ENST00000374865	MRPL50	54534	NM_019051	NP_061924
ENSG00000155858	ENST00000286307	LSM11	134353	NM_173491	NP_775762
ENSG00000170027	ENST00000307630	YWHAG	7532	NM_012479	NP_036611
ENSG00000204366	ENST00000375527	ZBTB12	221527	NM_181842	NP_862825
ENSG00000262664	ENST00000572195	OVCA2	124641	NM_080822	NP_543012
ENSG00000213402	ENST00000326294	PTPRCAP	5790	NM_005608	NP_005599
ENSG00000120738	ENST00000239938	EGR1	1958	NM_001964	NP_001955
ENSG00000118804	ENST00000237642	STBD1	8987	NM_003943	NP_003934
ENSG00000105617	ENST00000222224	LENG1	79165	NM_024316	NP_077292
ENSG00000124216	ENST00000244050	SNAI1	6615	NM_005985	NP_005976
ENSG00000185085	ENST00000330574	INTS5	80789	NM_030628	NP_085131
ENSG00000168792	ENST00000307201	ABHD15	116236	NM_198147	NP_937790
ENSG00000183779	ENST00000331569	ZNF703	80139	NM_025069	NP_079345
ENSG00000280789	ENST00000320330	PAGR1	79447	NM_024516	NP_078792
ENSG00000146066	ENST00000274787	HIGD2A	192286	NM_138820	NP_620175
ENSG00000162817	ENST00000294889	C1orf115	79762	NM_024709	NP_078985
ENSG00000170385	ENST00000367001	SLC30A1	7779	NM_021194	NP_067017
ENSG00000196368	ENST00000375992	NUDT11	55190	NM_018159	NP_060629
ENSG00000135045	ENST00000376854	C9orf40	55071	NM_017998	NP_060468
ENSG00000127920	ENST00000248564	GNG11	2791	NM_004126	NP_004117
ENSG00000176422	ENST00000338146	SPRYD4	283377	NM_207344	NP_997227
